BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
0.498824,0.548387,0.505829,0.472814,0.497989,0.529833,0.504695,0.445918,0.503883,0.484816,1
0.582734,0.449383,0.421169,0.505829,0.533061,0.477273,0.502106,0.445918,0.503883,0.48728,1
0.501229,0.511305,0.454039,0.525246,0.448052,0.487414,0.556116,0.499353,0.476318,0.504491,0
0.524364,0.493671,0.481521,0.505829,0.471503,0.494444,0.494477,0.508434,0.497414,0.437673,0
0.501229,0.504717,0.472814,0.407035,0.516461,0.477273,0.523727,0.445918,0.503883,0.516721,0
0.524364,0.507246,0.496536,0.481164,0.482173,0.508671,0.509972,0.499353,0.512255,0.516721,1
0.507547,0.504318,0.485014,0.523989,0.524819,0.513656,0.494477,0.491465,0.503883,0.501908,1
0.517039,0.504318,0.470037,0.481164,0.465927,0.485981,0.504695,0.505703,0.499863,0.484816,1
0.582734,0.509764,0.527027,0.523989,0.474946,0.529833,0.504695,0.50495,0.504505,0.516721,1
0.52795,0.504,0.531532,0.505829,0.471503,0.533592,0.486278,0.499353,0.457083,0.527418,1
0.448718,0.504318,0.470037,0.525246,0.510707,0.516867,0.494477,0.491465,0.532967,0.502555,0
0.496333,0.504318,0.487738,0.472814,0.4884,0.465565,0.494477,0.532847,0.503883,0.487002,0
0.501229,0.548387,0.533333,0.523989,0.524819,0.44523,0.523727,0.49184,0.470158,0.479401,0
0.466667,0.509764,0.485014,0.472814,0.529592,0.517986,0.49184,0.46988,0.504505,0.502555,0
0.488225,0.48645,0.476636,0.524364,0.497989,0.508671,0.509972,0.501018,0.504505,0.424386,0
0.542403,0.518519,0.522516,0.488225,0.369231,0.513656,0.509972,0.544974,0.504505,0.424386,1
0.469274,0.548387,0.502868,0.525246,0.534702,0.466042,0.515873,0.481038,0.568702,0.48728,1
0.582734,0.511305,0.497863,0.523989,0.533061,0.487414,0.556116,0.501018,0.497414,0.516721,0
0.521495,0.543799,0.491429,0.472814,0.48731,0.506708,0.494477,0.512528,0.497414,0.501908,1
0.471641,0.485095,0.522516,0.505829,0.516461,0.489831,0.494477,0.499353,0.457083,0.518556,1
0.542403,0.515086,0.476636,0.509864,0.522581,0.517857,0.518456,0.50495,0.490047,0.487002,1
0.513399,0.507246,0.497512,0.464286,0.524819,0.44523,0.467456,0.556116,0.499863,0.504491,1
0.466667,0.48645,0.421169,0.525246,0.533061,0.501018,0.494477,0.536116,0.499863,0.484816,1
0.464567,0.511305,0.466667,0.525246,0.533061,0.536116,0.523727,0.501018,0.515358,0.48728,1
0.523404,0.504717,0.421169,0.505829,0.464,0.556116,0.494477,0.513423,0.490047,0.48728,1
0.521495,0.511305,0.491429,0.505829,0.516461,0.493976,0.486278,0.559211,0.499863,0.473513,1
0.479853,0.511305,0.497972,0.472814,0.526119,0.529833,0.509972,0.472826,0.499863,0.48728,1
0.542403,0.507246,0.515759,0.488225,0.464,0.47907,0.494477,0.508434,0.503883,0.5,1
0.524364,0.548387,0.481521,0.488225,0.369231,0.508671,0.491484,0.478673,0.504505,0.510811,0
0.469274,0.504717,0.421169,0.505829,0.510274,0.486692,0.518595,0.522634,0.476318,0.516721,0
0.502674,0.507246,0.496536,0.488225,0.514382,0.530892,0.523727,0.508434,0.457083,0.424386,1
0.521495,0.504,0.553073,0.472814,0.537275,0.477273,0.491304,0.508434,0.476318,0.516721,0
